morph,llength,lwidth,elevation,lat,larea
micranthum,-2.120263536200091,-2.7593435007529186,1.128,43.7447,-5.1211715122235
micranthum,-0.6348782724359695,-1.6784307821353375,1.128,43.7447,-2.5548735298417977
micranthum,-1.1394342831883648,-2.1484344103096444,1.128,43.7447,-3.5294331687684997
micranthum,-0.7409378436969931,-1.6433394658339198,1.128,43.7447,-2.6258417848014033
micranthum,-0.7201758522629331,-1.8536348708184829,1.128,43.7447,-2.8153751983519064
micranthum,-0.7657178733947807,-2.2537949288246137,1.128,43.7447,-3.261077277489885
micranthum,-1.0788096613719298,-2.0402208285265546,1.128,43.7447,-3.3605949651689753
micranthum,-0.807436326962073,-1.6296406197516198,1.128,43.7447,-2.6786414219841834
micranthum,-1.0642108619507773,-2.2537949288246137,1.128,43.7447,-3.5595702660458817
micranthum,-1.2729656758128873,-2.120263536200091,1.128,43.7447,-3.634793687283469
micranthum,-1.2729656758128873,-1.8325814637483102,1.128,43.7447,-3.3471116148316877
micranthum,-0.6023928172914812,-1.3567355588783463,1.128,43.7447,-2.200692851440318
micranthum,-0.48884671759069365,-1.2729656758128873,1.128,43.7447,-2.0033768686740716
micranthum,-1.0216512475319814,-2.2072749131897207,1.128,43.7447,-3.470490635992193
micranthum,-0.5219989249259136,-1.5141277326297755,1.128,43.7447,-2.2776911328261797
micranthum,-0.8209805520698302,-1.742969305058623,1.128,43.7447,-2.8055143323989435
micranthum,-0.48884671759069365,-1.5293952032221023,1.128,43.7447,-2.2598063960832864
micranthum,-1.3664917338237108,-1.9310215365615626,1.128,43.7447,-3.539077745655764
micranthum,-0.9675840262617056,-2.0024805005437076,1.128,43.7447,-3.2116290020759037
micranthum,-1.1086626245216111,-1.9902104055128689,1.128,43.7447,-3.3404375053049704
micranthum,-0.5917946869020675,-1.5293952032221023,1.128,43.7447,-2.3627543653946605
micranthum,-0.9588503471625163,-1.8536348708184829,1.128,43.7447,-3.0540496932514896
micranthum,-0.6831968497067772,-1.584745299843729,1.128,43.7447,-2.5095066248209967
micranthum,-0.8285851506916907,-1.6262450290555663,1.128,43.7447,-2.6963946550177478
micranthum,-0.8675005677047231,-2.2537949288246137,1.128,43.7447,-3.362859971799827
micranthum,-0.5857886616406436,-1.8536348708184829,1.128,43.7447,-2.6809880077296167
micranthum,-0.49977578702995507,-1.5141277326297755,1.128,43.7447,-2.255467994930221
micranthum,-0.09065436863309437,-1.129071497183746,1.128,43.7447,-1.4612903410873308
micranthum,-0.5709295478356962,-1.4696759700589417,1.128,43.7447,-2.2821699931651285
micranthum,-1.1929229692382521,-2.014903023042265,1.128,43.7447,-3.4493904675510074
micranthum,-0.7133498878774648,-1.8325814637483102,1.128,43.7447,-2.7874958268962655
micranthum,-0.4834266490373358,-1.6784307821353375,1.128,43.7447,-2.403421906443164
micranthum,-0.4700036292457356,-1.491654876777717,1.128,43.7447,-2.203222981293943
micranthum,-1.3093333199837622,-2.3715779680524256,1.128,43.7447,-3.9224757633066782
micranthum,-0.6668298728919226,-1.592908612122234,1.128,43.7447,-2.5013029602846473
micranthum,-1.3093333199837622,-2.120263536200091,1.128,43.7447,-3.671161331454344
micranthum,-0.8734707346912269,-1.8805906829346708,1.128,43.7447,-2.9956258928963884
micranthum,-1.0886619568248426,-2.014903023042265,1.128,43.7447,-3.345129455137598
micranthum,-0.6443570163905132,-1.3375041969504586,1.128,43.7447,-2.2234256886114623
micranthum,-0.7201758522629331,-1.9195928384652126,1.128,43.7447,-2.8813331659986363
micranthum,-0.8675005677047231,-2.120263536200091,1.128,43.7447,-3.229328579175305
micranthum,-0.7985076962177716,-1.8119621785863909,1.128,43.7447,-2.852034350074653
micranthum,-0.31471074483970024,-1.3343346234550024,1.128,43.7447,-1.8906098435651932
micranthum,-1.2494351772399026,-2.2697952733968614,1.128,43.7447,-3.7607949259072546
micranthum,-0.9038682118755978,-1.9139271032022627,1.128,43.7447,-3.059359790348351
micranthum,-1.171182981502945,-1.9902104055128689,1.128,43.7447,-3.4029578622863044
micranthum,-0.4104776504342213,-1.6433394658339198,1.128,43.7447,-2.2953815915386313
micranthum,-0.8362480249698494,-1.7334905592172867,1.128,43.7447,-2.811303059457627
micranthum,-0.8915981192837836,-2.2072749131897207,1.128,43.7447,-3.340437507743995
micranthum,-0.8362480249698494,-1.7147984280919266,1.128,43.7447,-2.792610928332267
micranthum,-0.7621400513326111,-1.7147984280919266,1.128,43.7447,-2.7185029546950283
micranthum,-0.7236063880446539,-1.6607312068216509,1.128,43.7447,-2.6259020701367954
micranthum,-0.6443570163905132,-1.742969305058623,1.128,43.7447,-2.628890796719627
micranthum,-0.7444404749474959,-1.8643301620628905,1.128,43.7447,-2.850335112280877
micranthum,-0.5025268209512956,-1.2729656758128873,1.128,43.7447,-2.0170569720346734
micranthum,-0.8675005677047231,-1.9310215365615626,1.128,43.7447,-3.0400865795367764
micranthum,-0.7201758522629331,-1.7525387579978506,1.128,43.7447,-2.714279085531274
micranthum,-0.342490308946776,-1.0124345933444887,1.128,43.7447,-1.596489377561755
micranthum,-1.29706322861146,-2.177421952981216,1.128,43.7447,-3.716049656863167
micranthum,-1.6873994539038122,-2.7860117371665165,1.128,43.7447,-4.714975666340819
micranthum,-1.0309536392597154,-2.1484344103096444,1.128,43.7447,-3.4209525248398505
micranthum,-1.5141277326297755,-2.659260036932778,1.128,43.7447,-4.414952244833044
micranthum,-1.1929229692382521,-2.3025850929940455,1.128,43.7447,-3.737072537502788
micranthum,-0.8915981192837836,-1.7552897886202175,1.128,43.7447,-2.8884523831744913
